,article,bias
0,The following irresponsible police action reported by KHOU’s Rucks Russell should scare many. Here is the story as reported.A young 13 year old dancer Landry Thompson came to Houston from Oklahoma. She travelled with her two dance instructors over the weekend. The intent of their visit was to train all weekend with some of the best in dance industry.When they left the studio Saturday night they stopped at a gas station very exhausted as they searched for their lodging. They were trying to locate their hotel on the GPS. Out of nowhere they were surrounded by the Houston police.The Houston police dragged them out of the car and handcuffed them all.“I was kind of freaked out and surprised by it” said Landry Thompson.“They just pulled us out of the car. Put our hands behind out backs like we were criminals” said Landry’s dance instructor Emmanuel Hurd. “He asked me; who is the girl? She is my student. I said I have a notarized letter from her parents stating that I have full guardianship over her while we are here.”Landry Thompson and the instructors said they pleaded with the police and told the police their story repeatedly. It did not matter to the Houston police. Landry Thompson said “They still put handcuffs on me. And it really scared me. And they put me in the back of the cop car. I was terrified.” Landry Thompson was taken to Protective Services.“I was horrified. She was with the people I wanted her to be with. She was with people who were safe who I knew would take care of her” said Her mother Destiny Thompson. “Yet they had taken her away from those people and now she was in a shelter wherever she was with people I didn’t know.”Protective Services told Destiny Thompson that she would have to fly to Houston to get her daughter. After many phone calls with various officials Landry Thompson was released back into the custody of her dance instructors.“I would love an apology” said Landry Thompson’s mother. “They owe her an apology.”Soon after the trio was back at the dance studio. They intend to leave Houston on Monday afternoon.The Houston police (HPD) has not been responding to inquiries as to what happened.Were Landry Thompson and dance instructors victims of stereotyping and racism?Why did the Houston police believe they had to react as they did? Does it have anything to do with the young dancer being a young white girl and the two dance instructors being young black males? If the two instructors were white males would the police officers have reacted in the same manner? The dance instructors had notarized document detailing that they were the young girl’s guardian. What else were they expected to do to ensure they would not be treated like common criminals but the productive human beings they are?LIKE My Facebook Page – Visit My Blog:EgbertoWillies.comFollow @EgbertoWillies,0
1,SACRAMENTO — “Living in parallel universes” is how Senate leader Darrell Steinberg describes it. Gun control and gun rights advocates “talking past each other.”Emanating from different cultures incapable of agreeing on how to make us all safer from firearms.AdvertisementTheir opposite views were in full voice last week in the Legislature during a marathon 10-hour committee hearing — longest anyone could remember — on gun bills.Unlike in Washington where gun control forces couldn’t muster enough strength in the U.S. Senate to pass legislation expanding background checks a state Senate committee in Sacramento approved eight bills to strengthen California’s already stringent firearms regulations.AdvertisementUnfortunately without universal background checks nationwide — not only in gun stores which already is the law but at gun shows and via the Internet — California is vulnerable to Wild-West dealing in other states.Criminals and mental misfits can buy virtually any weapon they want at a Nevada or Arizona gun show and cart it into California circumventing this state’s tough background checks.AdvertisementActually in Washington there was solid majority support for expanding background checks — 55 Senate votes. But because of that chamber’s arcane rules born of undemocratic filibusters the bill needed 60 or a 60% supermajority.In Sacramento where Democrats overwhelmingly rule most gun legislation can be passed on a simple majority vote.AdvertisementOne exception is a bill to speed up the confiscation of guns from Californians who bought them legally but later were disqualified because of a violent crime a restraining order or mental illness. There are roughly 20000 people possessing around 40000 firearms who aren’t supposed to have them.The bill SB 140 by Sen. Mark Leno (D-San Francisco) requires a two-thirds vote in each legislative house. It would appropriate $24 million to hire enough agents to seize the weapons.AdvertisementBut despite opposition by the gun lobby — it objects to using money from background check fees paid by gun buyers — the measure has been sailing through the Legislature. It passed the Assembly 57-10 last week with only Republicans voting “no.”This bill however offers a clear example of political polarization in the Capitol.AdvertisementRepublicans proposed a perfectly sensible amendment that would have required all the illegal weapons to be confiscated in one year rather than over three as mandated by the bill. Democrats quickly tabled the amendment cutting off debate.“If we’re going to be serious about dealing with felons with guns then we need to take advantage of the money and make it a priority” Assemblyman Donald Wagner (R-Irvine) the amendment’s author told me.Advertisement“A lot of folks on my [GOP] side want to do something. They don’t want to just be saying ‘no.’ But they didn’t even let us debate….“I won’t say it’s impossible to come together. And I won’t say one side is entirely right and the other is entirely wrong. But both sides need to get beyond their hardened positions of the past.”AdvertisementHardened positions however dominated the long meeting of the Senate Public Safety Committee. Republicans followed the gun lobby in opposing every measure. Democrats passed all of them on party-line 5-to-2 votes.“There’s a difference between opposing every bill and your saying ‘We would support it if you did this or that’ ” Steinberg a Democrat from Sacramento finally vented to gun lobbyists. “It would help your credibility.”AdvertisementThe committee approved bills to:•Prohibit the sale of semiautomatic rifles that hold detachable magazines. SB 374 Steinberg. The senator called them “mass killing machines.”Advertisement• Ban even the possession of magazines holding more than 10 rounds. They’re already illegal to buy. SB 396 Sen. Loni Hancock (D-Berkeley).• Require ammunition buyers to pass a background check and obtain a license. SB 53 Sen. Kevin de Leon (D-Los Angeles).Advertisement• Add repeated alcohol and drug offenses as reasons for denying gun ownership. SB 755 Sen. Lois Wolk (D-Davis).• Require long gun purchasers to pass a written safety test. That’s already required for handgun buyers. SB 683 Sen. Marty Block (D-San Diego).AdvertisementThese and other bills passed by the committee perhaps could use some expert tweaking — even gutting — and the gun lobbyists are experts. But they’re such inflexible hard-liners that Democrats ignore them.Just as intransigent were scores of citizens who lined up to emotionally argue for gun rights. They repeatedly voiced two familiar mantras: Gun control laws are unconstitutional because of the 2nd Amendment. And the laws don’t stop gun violence they only harass innocent law-abiding citizens.Advertisement“My rights are protected by the United States Constitution and not affected by an L.A. Times poll” protested one tea party member referring to a recent USC Dornsife/Los Angeles Times poll that found overwhelming support for stricter gun controls.Countering the constitutional argument Steinberg quoted U.S. Supreme Court Justice Antonin Scalia in a 2008 opinion that affirmed the right of individuals to own firearms. “Like most rights” Scalia wrote “the right secured by the 2nd Amendment is not unlimited….Advertisement“The right was not a right to keep and carry any weapon whatsoever in any manner whatsoever and for whatever purpose.”As for badgering law-abiding citizens Steinberg noted that four killers in the last five mass shootings had no prior criminal records. And the fifth had been guilty only of a minor offense.AdvertisementMurderers often are law-abiders until they’re not — until they shoot their wife or get fired and mow down former co-workers.Also testifying were long lines of gun control advocates including trauma surgeons and mothers some of whom had lost children to gun fire.AdvertisementYes these gun combatants are living in parallel universes. And so are Sacramento and Washington. Too bad they can’t figure out how to fire in sync at the same enemy: gun violence.george.skelton@latimes.com,1
2,"Co-host of MSNBC's ""The Cycle"" Touré joined HuffPost Live host Marc Lamont Hill Thursday and defended his network's all-white primetime lineup. The cable news industry has come under criticism for its lack of diversity generally and within primetime in particular. Though MSNBC has several African-American hosts none of them anchor primetime shows.But Touré said that within MSNBC's modern era there have only been five hosts to fit into three valuable slots -- and the current lineup of Chris Hayes Rachel Maddow and Lawrence O'Donnell is ""brilliant"" and ""extraordinary.""""If you were able to say to me that there is a person who is not brilliant ... then you can say something but we have three extraordinary people"" he said. Asked by Hill whether or not there was an endemic hostility to hosts of color in primetime at MSNBC Touré said there wasn't.""I don't think that there's a barrier to where [MSNBC chief] Phil Griffin's like 'I'm not going to hire a black person'"" he said. ""We have an openly gay woman at 9:00. We are liberal with a lowercase L. We are gonna open the doors to people. I could surely see at some point the right person come along and get one of the spots.""",1
3,"US Representative Michele Bachmann speaks during The Family Research Council (FRC) Action Values Voter Summit on September 14 2012 at a hotel in Washington DC. The summit is an annual political conference for US social conservative activists and elected officials. AFP PHOTO/Mandel NGAN (Photo credit should read MANDEL NGAN/AFP/GettyImages)Rep. Michele Bachmann (R-Minn.) suggested Sunday that the IRS' targeting of conservative groups during the 2012 presidential campaign undermines the election's credibility accusing President Barack Obama's administration of ""blatantly lying to the American people"" and questioning whether the agency would ""deny"" health care coverage for conservatives.“We learned that during an election [Obama] interfered with the First Amendment rights of conservatives and tea party members by intimidating and harassing these organizations” Bachmann who unsuccessfully ran for the Republican presidential nomination in 2012 said in an interview with conservative website World Net Daily. “Once again it appears the Obama administration is blatantly lying to the American people... People can right ask questions [about] the credibility of the elections.""On Friday the IRS admitted to engaging in ""inappropriate"" targeting of conservative political groups during the 2012 election. Agents singled out groups with ""tea party"" or ""patriot"" in their applications for tax-exempt status as well as organizations that took issue with ""how the country is being run.""Bachmann said agency claims that no high-level officials were involved with developing the criteria for extra scrutiny are ""laughable.""“The Obama administration wants us to believe low-level functionaries are the ones responsible for making this decision” she said. “That is impossible laughable. I can tell you within the IRS the agency is very sensitive of jurisdictional authority.""The Republican congresswoman pointed to the IRS' role in the implementation of Obama's signature health care reform law as another potential area for concern claiming that it is ""reasonable"" to ask whether the agency will ""will deny or delay access to health care"" for conservatives.""We learned to our horror in Benghazi it appears that every move that was made was based on politics"" she said. “Now it appears the president was willing to use the most feared agency in the U.S. for his own political purposes.""Former House Speaker Newt Gingrich (R-Ga.) also tied the IRS scandal to the Affordable Care Act.""[Obama] has a huge problem because Obamacare relies very heavily on the IRS"" Gingrich said during a Monday appearance on MSNBC's ""Morning Joe."" ""Why would you trust the bureaucracy with your health if you can't trust the bureaucracy with your politics?""",1
4,The agency missed a Feb. 15 deadline to complete a review of the report which has 35000 footnotes referring to 6 million documents from C.I.A. files. It now appears likely that the response offering the committee any factual corrections or broader judgments will be delayed until Mr. Brennan’s arrival.Because Mr. Obama famously said he preferred to look forward not back at his predecessor’s counterterrorism programs the Senate report is by far the most thorough examination of how the United States came to use nudity cold sleep deprivation stress positions wall-slamming and waterboarding methods it had long condemned as abuse or torture.Mr. Brennan will have to decide whether to support making a redacted version of the interrogation report public as the committee is likely to support after the C.I.A. completes its review and as a United Nations human rights adviser urged this week. Several Democratic senators and at least one Republican Senator John McCain of Arizona who was tortured as a prisoner in North Vietnam have said that a declassified version must be released and Mr. Brennan said he would give the request “serious consideration.”He will have to decide whether to convene what the agency calls an accountability board to recommend punishment for current or former officials accused of mismanaging or misrepresenting the interrogation program. If he tries to keep the peace by dismissing the dispute as history and a distraction from the agency’s current challenges he will face strong resistance from the Senate committee’s Democratic majority and Mr. McCain.But Emile A. Nakhleh a former top C.I.A. analyst on political Islam who once worked for him said Mr. Brennan’s work as Mr. Obama’s top counterterrorism adviser intimate knowledge of the agency and blunt style equip him well to handle the task.“It will be challenging but if there’s any person who can take this on it’s Brennan” Mr. Nakhleh said. “He may say some harsh things about the program and some people won’t like it. But the institution will benefit.”,1
5,"WASHINGTON DC - JULY 31: Speaker of the House John Boehner (R-OH) answers reporters' questions during a brief news conference after the weekly House Republican Caucus meeting at the U.S. Capitol July 31 2013 in Washington DC. Boehner and other Republican legislators have responded negatively to a 'grand bargain' proposal to lower corporate tax rates in exchange for a boost in infrastructure spending and help for the middle class put forward by President Barack Obama who met with Democratic lawmakers at the capitol today. (Photo by Chip Somodevilla/Getty Images)WASHINGTON -- Moderate Democrats working to gather support from Republicans for comprehensive immigration reform sent an ultimatum Friday to Speaker John Boehner: introduce a bill by Sept. 30 or they'll introduce their own.""[W]e are frustrated that there was not a bipartisan immigration reform bill introduced prior to the August recess"" reads the letter from 39 members of the New Democrat Coalition a 53-member group including co-chairmen Reps. Joaquín Castro (D-Texas) and Jared Polis (D-Colo.).""Therefore we write to inform you that if a bipartisan immigration reform package is not introduced in the House of Representatives -- one that includes a pathway to citizenship helps grow American jobs and fixes our immigration system once and for all -- by September 30th we as New Democrats will consider introducing a comprehensive immigration reform bill"" the letter continues. Read the letter here.Boehner an Ohio Republican has said he will not bring up any immigration bill -- particularly the one that passed the Senate in June -- unless a majority of House Republicans support it. Democrats and pro-reform activists think they could get the 218 votes needed for passage of comprehensive immigration reform if Boehner would allow for a vote by keeping most Democrats and winning over some Republicans.Members of Congress leave town Friday for the August recess a month-long break during which they will hear from constituents. Meanwhile the clock is ticking closer to primaries and the 2014 election year.Democrats have said immigration reform should include a path to citizenship for undocumented immigrants but many Republicans have said it's a no-go. Instead House Republicans are pursuing a number of smaller bills such as border security legislation. Majority Leader Eric Cantor (R-Va.) and Judiciary Committee Chairman Bob Goodlatte (R-Va.) are working on a bill to legalize undocumented young people who came to the U.S. as children but there aren't GOP-led efforts to deal with their parents. A seven-member bipartisan group in the House is working on comprehensive legislation with a path to citizenship though it has not yet come to a final agreement on legislative language.The New Democrat Coalition letter says Boehner ""can rely on"" its members for support if he brings up a bill with a path to citizenship for undocumented immigrants.“We have the support of the American people"" it concludes. ""We hope we can count on your support.""",1
6,Story highlights Senior officials say Biden apologized to Obama on Wednesday Obama responded that Biden was speaking from the heart they say Biden's weekend remarks spurred Obama to announce his support for same-sex marriage(CNN) —Vice President Joe Biden has apologized to President Barack Obama for putting him in a tough position that led to Obama’s announcement that he now supports same-sex marriage senior administration officials said Thursday.Obama said in an interview that aired Thursday on ABC that he made his decision public earlier than he had planned after Biden’s weekend remark that he was “absolutely comfortable” with letting gays and lesbians marry.Two senior administration officials said Biden and Obama met Wednesday morning and Biden apologized for putting Obama in a tough spot. Obama responded by saying that he knew Biden was speaking from the heart said the officials who didn’t want to be named discussing private conversations between the president and vice president.Biden’s remarks on NBC’s “Meet the Press” on Sunday launched a controversy that led to Obama announcing that his position on same-sex marriage which he had previously called “evolving” had shifted to support. When Obama’s full interview aired Thursday he said his disclosure came sooner than planned as a result of Biden’s comments.“I had already made a decision that we were going to probably take this position before the election and before the convention” Obama said on ABC’s “Good Morning America.” Biden “probably got out a little bit over his skis but out of generosity of spirit” he said.He added that he would have “preferred to have done this in my own way on my own terms” but “all’s well that ends well.”Separately Biden spokeswoman Kendra Barkoff said Obama “has been the leader on this issue from day one and the vice president never intended to distract from that.”Once Biden’s comments drew attention to the issue Obama made plans to announce his support next week on a previously scheduled appearance on the ABC talk show “The View” a senior administration official said Thursday. The president and his advisers knew Obama would be asked about the issue in the wake of Biden’s NBC interview said the official who didn’t want to speak publicly about internal administration discussions.Ultimately they decided to move up the timeline and have him announce his support during the ABC interview at the White House the official said. And a top Democrat told CNN that Obama knew the issue would come up at the convention partly because of a push for support for same-sex marriage to be included in the Democratic Party platform and in debates.Multiple top Democrats told CNN the president’s senior aides are annoyed with Biden for forcing the conversation on same-sex marriage now. One source said Biden has in the past counseled the president against coming out for same-sex marriage making this move that much more frustrating.But the sources said they don’t believe it will create a lasting rift between the two leaders. Biden is known to go off-script something Obama knew when he selected his vice president.In explaining to ABC how his position has evolved Obama noted that his daughters Malia and Sasha have “friends whose parents are same-sex couples. It wouldn’t dawn on them that somehow their friends’ parents would be treated differently. And frankly that’s the kind of thing that prompts a change of perspective not wanting to somehow explain to your child why somebody should be treated differently when it comes to the eyes of the law.”Asked about whether his new position is a calculated move in an election year Obama said it would “be hard to argue that somehow this is something that I’d be doing for political advantage. Because frankly you know the politics – it’s not clear how they cut.”The interview aired the same day Obama attended a fundraiser in Los Angeles where support for same-sex marriage is strong. Movie star George Clooney hosted the event which is raking in $15 million according to a top Democratic source. And on Monday openly gay singer Ricky Martin is hosting a fundraising event for Obama in New York.But some in the African-American community have expressed strong disapproval of Obama’s endorsement of same-sex marriage. A Democratic official said the White House has been actively reaching out to African-American community leaders and pastors and will continue to do so in the wake of the president’s decision but the official noted that even the president’s base won’t always agree with him on everything. “There are going to be issues you don’t agree on” the official said.And Obama told ABC he won’t spend much time talking about the issue because he’s focused on the economy. The announcement puts Obama squarely at odds with presumptive Republican presidential nominee Mitt Romney who has since reiterated his opposition to same-sex marriage.“And I do not favor civil unions if they are identical to marriage other than by name” Romney said during a Wednesday visit to Fort Lupton Colorado. “My view is the domestic partnership benefits hospital visitation rights and the like are appropriate but that the others are not.”The issue is a divisive one in American politics but it’s uncertain how the development might play out at the voting booth.A Gallup Poll released Tuesday indicated 50% of Americans believe same-sex marriages should be recognized by law as valid with 48% saying such marriages should not be legal – a dramatic shift from a few years ago. A Gallup poll in 2009 found 40% supported same-sex marriage and 57% were opposed.But a CNN/ORC International poll taken in late March indicated policies toward gays and lesbians were tied for last in people’s opinions of the most-important issues facing the country.Obama said he supports states deciding the issue on their own but added that he was “disappointed” by Tuesday’s vote on the issue in North Carolina where a ban on same-sex marriage was added to the constitution. Obama called the amendment discriminatory against gays and lesbians a spokesman said earlier Wednesday.Six states – Massachusetts Connecticut Iowa Vermont New Hampshire and New York – and the District of Columbia issue marriage licenses to same-sex couples while 31 states have voted in favor of constitutional amendments that seek to defend traditional definitions of marriage as a heterosexual union.In February Washington Gov. Christine Gregoire signed a bill that would legalize same-sex marriage beginning in June but opponents there have pledged to block the bill and called for voters to decide the issue. Maryland Gov. Martin O’Malley signed into law a bill that permits the state’s same-sex couples to wed as of January 1 and state residents may vote to affirm such a law.Minnesota will vote on a state constitutional amendment similar to the one in North Carolina while Maine will have a referendum on allowing same-sex marriage. Meanwhile two cases seeking to overturn laws forbidding the practice one from California and another from Massachusetts could be headed to the U.S. Supreme Court in coming months.CNN’s Josh Levs Phil Gast Bill Mears Dan Gilgoff and Jim Acosta contributed to this report.,0
7,"""And the president our president is determined to try to clarify and make clear for people and is now doing a thorough review in order that nobody will have the sense of abuse... we are going to make sure that does not happen in the future."" he said.",1
8,At various points over the past two years Internal Revenue Service officials singled out for scrutiny not only groups with “tea party” or “patriot” in their names but also nonprofit groups that criticized the government and sought to educate Americans about the U.S. Constitution according to documents in an audit conducted by the agency’s inspector general.The documents obtained by The Washington Post from a congressional aide with knowledge of the findings show that the IRS field office in charge of evaluating applications for tax-exempt status decided to focus on groups making statements that “criticize how the country is being run” and those that were involved in educating Americans “on the Constitution and Bill of Rights.”The staffers in the Cincinnati field office were making high-level decisions on how to evaluate the groups because a decade ago the IRS assigned all applications to that unit. The IRS also eliminated an automatic after-the-fact review process Washington used to conduct such determinations.Marcus Owens who oversaw tax-exempt groups at the IRS between 1990 and 1999 said that delegation “carries with it a risk” because the Cincinnati office “isn’t as plugged into what’s [politically] sensitive as Washington.”Owens now with the firm Caplin & Drysdale said that before the agency’s most recent reorganization it had a series of “tripwires in place” that could catch unfair targeting including the fact that the IRS identified its criteria for special scrutiny in a public manual.View Graphic A report due this week says the IRS targeted groups with names containing “tea party” and “patriot.”“There’s no longer that safety valve and as a result the IRS has been rolling the dice ever since” said Owens who worked at the agency for nearly a quarter-century and now represents some organizations seeking tax-exempt status.The IRS came under withering attack from GOP lawmakers Sunday. Sen. Susan Collins of Maine a moderate Republican described the practice as “absolutely chilling” and called on President Obama to condemn the effort.“This is truly outrageous” she said on CNN’s “State of the Union” adding that even though White House spokesman Jay Carney has said the matter deserves an investigation “the president needs to make crystal clear that this is totally unacceptable in America.”In March 2012 then-IRS Commissioner Douglas H. Shulman who was appointed by President George W. Bush told Congress that the agency was not targeting conservative groups. On Sunday the agency declined to answer questions about whether senior officials asked IRS exempt organizations division chief Lois G. Lerner and her staff in Cincinnati about this heightened scrutiny before testifying it did not take place.“There has to be accountability for the people who did it” House Oversight and Government Reform Committee Chairman Darrell Issa (R-Calif.) said on NBC’s “Meet the Press” adding: “And quite frankly up until a few days ago there’s got to be accountability for people who were telling lies about it being done.”The appendix of the inspector general’s report — which was requested by the House Oversight and Government Reform Committee and has yet to be publicly released — chronicles the extent to which the IRS’s exempt organizations division kept redefining what sort of “social welfare” groups it should single out for extra attention since the 2010 Supreme Court ruling Citizens United v. Federal Election Commission. That decision allowed corporations and labor unions to raise and spend unlimited sums on elections as well as register for tax-exempt status under Section 501(c)(4) of the tax code as long as their “primary purpose” was not targeting electoral candidates.The number of political groups applying for tax-exempt status more than doubled in the wake of the Citizens United ruling forcing agency officials to make a slew of determinations despite uncertainty about the category’s ambiguous definition.Of the 298 groups selected for special scrutiny according to the congressional aide 72 had “tea party” in their title 13 had “patriot” and 11 had “9/12.” Lerner who apologized Friday for the targeting of such groups described it as a misguided effort to deal with a flood of applications for tax-exempt status. She did not release the names of the groups.On June 29 2011 according to the documents IRS staffers held a briefing with Lerner in which they described giving special attention to instances where “statements in the case file criticize how the country is being run.” She raised an objection and the agency adopted a more general set of standards. Lerner who is a Democrat is not a political appointee.But six months later the IRS applied a new political test to social welfare groups the document says. On Jan. 15 2012 the agency decided to look at “political action type organizations involved in limiting/expanding Government educating on the Constitution and Bill of Rights social economic reform movement” according to the appendix in the IG’s report.The agency did not appear to adopt a more neutral test for 501(c)(4) groups until May 17 2012 according to the timeline in the report. At that point the IRS again updated its criteria to focus on “organizations with indicators of significant amounts of political campaign intervention (raising questions as to exempt purpose and/or excess private benefit.)”Campaign reform groups have been pressing the IRS for several years to conduct greater oversight of nonprofits formed in the wake of the Citizens United case given that many have become heavily involved in elections. “But this isn’t the type of enforcement we want” said Paul Ryan a senior counsel at the Campaign Legal Center. “We want nonpartisan non-biased enforcement.”Loyola Law School professor Ellen Aprill who specializes in tax law said any groups that have applied for tax-exempt status has “opened themselves up to scrutiny” by the IRS. “It’s part of their job to look for organizations that may be more likely to have too much campaign intervention” she said. “But it is important to try to make these criteria as politically neutral as possible.”Aprill said one of the problems is the agency’s top officials have not provided clear enough guidelines on what constitutes too much political activity for a social welfare group because it’s been “a hot potato” and that now with this new controversy “it’s going to make it even more difficult to do so.”Toby Marie Walker president of the Waco Tea Party said the IRS subjected her group to a series of unreasonable requests after it applied for tax-exempt status in June 2010. The requests came in early 2012 Walker said after being initially informed by an official in the Cincinnati field office that he was “sitting on a stack of tea party applications and they were awaiting word from higher-ups as to how to process them.”The agency asked the group’s treasurer to supply information on its “close relationship” with current candidates and elected officials as well as future candidates along with detailed information about its contributors and members. It also asked for transcripts of any radio interviews its officials had done and hard copies of any news articles mentioning them.“That would take me years to do” Walker said noting that in some cases Chinese media outlets referred to her organization. “Am I responsible for every news article across the globe?”The group had even more difficulty providing transcripts and details of speakers at its events since they hosted informal gatherings such as “rant contests” where anyone could come and express their views.While the IRS awarded the Waco Tea Party tax-exempt status about six weeks ago Walker said the group was now considering suing the agency since the process not only consumed time and effort but prompted the group to scale back its 2012 get-out-the-vote operation. “We were afraid to do it and get in trouble” she said.Sal Russo chief strategist for the Tea Party Express said that even though the agency’s actions intimidated tea party adherents he gives the IRS “credit for standing up and admitting” it targeted them. And while only two of the agency’s officials — the commissioner and the chief counsel — are political appointees Russo said the administration needs to conduct better oversight.“The culture is set at the top” Russo said. “Obviously you can’t control what every employee does. But you have to set a standard particularly with the IRS to be squeaky clean.”Josh Hicks and Julie Tate contributed to this report.Discuss this topic and other political issues in the politics discussion forums.,1
9,This is the gospel according to the Church of Safe Injection: People will use drugs anyway so society should make sure they use safely. The church is a loose collection of activists fighting against Maine’s opioid...,1
